Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Status
lp-ar101,LED tennisbaanarmatuur lineair 45-75W instelbaar 11.250 lm 5000K,"<p>Lineaire LED tennisbaanarmatuur met P70-optiek die de hele baan gelijkmatig vult zonder verblinding. Monteert op het hekwerk: geen masten, geen hoogwerker, geen lichtontwerper nodig. Vermogen en kleurtemperatuur instelbaar via afstandsbediening.</p><ul><li>P70-optiek voor tennisbanen</li><li>Montage op hekwerk</li><li>Geen masten nodig</li><li>Vermogen en CCT instelbaar</li><li>5 jaar garantie</li></ul><h3>Specificaties</h3><table><tr><td>Vermogen</td><td>45-60-75W</td></tr><tr><td>Lichtstroom</td><td>11.250 lm</td></tr><tr><td>Lichtrendement</td><td>150 lm/W</td></tr><tr><td>Kleurtemperatuur</td><td>5000K</td></tr><tr><td>Kleurweergave (CRI)</td><td>&gt; 70</td></tr><tr><td>Lichtverdeling</td><td>P70</td></tr><tr><td>Driver</td><td>BOKE</td></tr><tr><td>LED-chip</td><td>Lumileds</td></tr><tr><td>Dimming en besturing</td><td>niet dimbaar</td></tr><tr><td>Aansluitkabel</td><td>1 m</td></tr><tr><td>IP-klasse</td><td>IP65</td></tr><tr><td>Garantie</td><td>5 jaar</td></tr></table><p>Minimale afname 4 stuks. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>",Lichtplein,ARENA,"ARENA,B2B,Tennisbaanverlichting lineair",TRUE,Title,Default Title,LP-AR101,349.00,continue,manual,TRUE,TRUE,https://lichtplein.nl/img/p/lp-ar101-1-l.webp,1,active
lp-ar101,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-ar101-2-l.webp,2,
lp-ar101,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-ar101-3-l.webp,3,
lp-ar101,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-ar101-4-l.webp,4,
lp-ar102,Voedingskabel 1 m met connectoren,<p>Voedingskabel 1 m met connectoren. Toebehoren voor de led tennisbaanarmatuur lineair uit de serie ARENA.</p><ul><li>Past op de armaturen uit deze serie</li><li>Direct uit voorraad</li></ul><h3>Specificaties</h3><table><tr><td>Garantie</td><td>5 jaar</td></tr></table><p>Minimale afname 1 stuk. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>,Lichtplein,ARENA,"ARENA,B2B,Toebehoren",TRUE,Title,Default Title,LP-AR102,24.05,continue,manual,TRUE,TRUE,https://lichtplein.nl/img/p/lp-ar102-1-l.webp,1,active
lp-ar103,Afstandsbediening vermogen en kleurtemperatuur,<p>Afstandsbediening vermogen en kleurtemperatuur. Toebehoren voor de led tennisbaanarmatuur lineair uit de serie ARENA.</p><ul><li>Past op de armaturen uit deze serie</li><li>Direct uit voorraad</li></ul><h3>Specificaties</h3><table><tr><td>Garantie</td><td>5 jaar</td></tr></table><p>Minimale afname 2 stuks. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>,Lichtplein,ARENA,"ARENA,B2B,Toebehoren",TRUE,Title,Default Title,LP-AR103,13.25,continue,manual,TRUE,TRUE,https://lichtplein.nl/img/p/lp-ar103-1-l.webp,1,active
lp-ar104,LED padelbaanschijnwerper 150W 25.500 lm 5000K,"<p>LED padelbaanschijnwerper met 100x60 graden optiek en 170 lm/W, IP66 en IK10. Gelijkmatige verlichting van de hele kooi zonder strooilicht naar de omgeving. Uitvoering met instelbaar vermogen beschikbaar.</p><ul><li>100x60 graden padeloptiek</li><li>170 lm/W</li><li>IP66, IK10</li><li>Weinig strooilicht</li><li>5 jaar garantie</li></ul><h3>Specificaties</h3><table><tr><td>Vermogen</td><td>150W</td></tr><tr><td>Lichtstroom</td><td>25.500 lm</td></tr><tr><td>Lichtrendement</td><td>170 lm/W</td></tr><tr><td>Kleurtemperatuur</td><td>5000K</td></tr><tr><td>Kleurweergave (CRI)</td><td>&gt; 70</td></tr><tr><td>Lichtverdeling</td><td>100x60°</td></tr><tr><td>Driver</td><td>Sosen</td></tr><tr><td>LED-chip</td><td>Lumileds</td></tr><tr><td>Dimming en besturing</td><td>niet dimbaar</td></tr><tr><td>Aansluitkabel</td><td>1 m</td></tr><tr><td>IP-klasse</td><td>IP66</td></tr><tr><td>Slagvastheid</td><td>IK10</td></tr><tr><td>Garantie</td><td>5 jaar</td></tr></table><p>Minimale afname 6 stuks. Projectprijs vanaf 100 stuks op aanvraag. Levering binnen 5 werkdagen.</p>",Lichtplein,ARENA,"ARENA,B2B,Padelbaanverlichting",TRUE,Title,Default Title,LP-AR104,149.00,continue,manual,TRUE,TRUE,https://lichtplein.nl/img/p/lp-ar104-1-l.webp,1,active
lp-ar104,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-ar104-2-l.webp,2,
lp-ar104,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-ar104-3-l.webp,3,
lp-ar104,,,,,,,,,,,,,,,https://lichtplein.nl/img/p/lp-ar104-4-l.webp,4,
